1	гениальной	гениальный	ADJ	_	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#155.39#155.794
2	женщиной	женщина	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#155.794#156.198
3	конечно	конечно	ADV	_	_	_	_	_	@szs1962f-words#@szs1962f#156.198#156.602
4	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@szs1962f-words#@szs1962f#156.602#157.006
5	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#157.006#157.41
6	Ида	Ида	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#157.41#157.814
7	Рубинштейн	Рубинштейн	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#157.814#158.218
8	навелно…	наверно	ADV	_	_	_	_	_	@szs1962f-words#@szs1962f#158.218#158.622
9	наверно	наверно	ADV	_	_	_	_	_	@szs1962f-words#@szs1962f#158.622#159.026
10	плохой	плохой	ADJ	_	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#159.026#159.43
11	танцовщицей	танцовщица	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#159.43#159.834
12	и	и	CCONJ	_	_	_	_	_	@szs1962f-words#@szs1962f#159.834#160.238
13	не	не	PART	_	_	_	_	_	@szs1962f-words#@szs1962f#160.238#160.642
14	очень	очень	ADV	_	_	_	_	_	@szs1962f-words#@szs1962f#160.642#161.046
15	хорошей	хороший	ADJ	_	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#161.046#161.45
16	артисткой	артистка	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#161.45#161.854
17	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#161.854#162.258
18	но	но	CCONJ	_	_	_	_	_	@szs1962f-words#@szs1962f#162.258#162.662
19	женщиной	женщина	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#162.662#163.066
20	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#163.066#163.47
21	ээ	ээ	INTJ	_	_	_	_	_	@szs1962f-words#@szs1962f#163.47#163.874
22	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#163.874#164.278
23	в	в	ADP	_	_	_	_	_	@szs1962f-words#@szs1962f#164.278#164.682
24	плане	план	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#164.682#165.086
25	креатива	креатив	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#165.086#165.49
26	и	и	CCONJ	_	_	_	_	_	@szs1962f-words#@szs1962f#165.49#165.894
27	предвидения	предвидение	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#165.894#166.298
28	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@szs1962f-words#@szs1962f#166.298#166.702
29	гениальной	гениальный	ADJ	_	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@szs1962f-words#@szs1962f#166.702#167.106
30	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#167.106#167.51
31	потому	потому	ADV	_	_	_	_	_	@szs1962f-words#@szs1962f#167.51#167.914
32	что	что	SCONJ	_	_	_	_	_	@szs1962f-words#@szs1962f#167.914#168.318
33	благодаря	благодаря	ADP	_	_	_	_	_	@szs1962f-words#@szs1962f#168.318#168.722
34	ей	она	PRON	_	Case=Dat|Gender=Fem|Number=Sing|Person=3	_	_	_	@szs1962f-words#@szs1962f#168.722#169.126
35	/	/	PUNCT	_	_	_	_	_	@szs1962f-words#@szs1962f#169.126#169.53
36	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@szs1962f-words#@szs1962f#169.53#169.934
