1	ой	а	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#809.02#809.193
2	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#809.193#809.366
3	сёрбаю	сёрбать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#809.366#809.539
4	да	да	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#809.539#809.712
5	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#809.712#809.885
6	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#809.885#810.058
7	сёрбаю	сёрбать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#810.058#810.231
8	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#810.231#810.404
9	и	и	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#810.404#810.577
10	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#810.577#810.75
11	тоже	тоже	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#810.75#810.923
12	сёрбаешь	сёрбать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#810.923#811.096
13	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#811.096#811.269
14	всё	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#811.269#811.442
15	нормально	нормально	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#811.442#811.62
16	так	так	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#816.216#816.806
17	да	да	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#817.621#817.837
18	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#817.837#818.053
19	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#818.053#818.269
20	в	в	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#818.269#818.485
21	общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#818.485#818.701
22	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#818.701#818.917
23	тоже	тоже	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#818.917#819.133
24	кто-то	кто-то	PRON	_	Case=Nom	_	_	_	@emk1994m-words#@emk1994m#819.133#819.349
25	приучил	приучить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#819.349#819.565
26	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#819.565#819.781
27	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#819.781#819.997
28	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#819.997#820.213
29	говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#820.213#820.429
30	тоже	тоже	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#820.429#820.645
31	теперь	теперь	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#820.645#820.861
32	сёрбать	сёрбать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#820.861#821.08
33	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#821.501#821.779
34	оно	оно	PRON	_	Case=Nom|Gender=Neut|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#821.779#822.057
35	нравится	нравиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@emk1994m-words#@emk1994m#822.057#822.335
36	оно	оно	PRON	_	Case=Nom|Gender=Neut|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#822.335#822.613
37	красивое	красивый	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#822.613#822.891
38	да	да	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#822.891#823.171
39	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#825.246#825.453
40	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#825.453#825.66
41	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#825.66#825.867
42	нормально	нормально	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#825.867#826.076
43	о	о	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#829.941#830.568
44	господи	господи	PROPN	_	Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#830.568#831.196
45	ооо	ооо	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#831.3#831.9
46	а	а	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#831.9#832.177
